date,open,high,low,close,volume
2024-01-02,40000.00,40163.86,39818.55,40110.74,19754.29
2024-01-03,40110.74,40337.17,38840.56,38850.16,16222.29
2024-01-04,38850.16,39609.15,38675.34,39323.02,18950.71
2024-01-05,39323.02,40434.06,39211.42,40403.24,17721.98
2024-01-08,40403.24,40456.90,40181.24,40280.72,18893.62
2024-01-09,40280.72,40290.71,39811.90,40007.28,18953.60
2024-01-10,40007.28,40078.42,39811.41,40040.57,12998.21
2024-01-11,40040.57,40076.98,39662.01,39792.55,13584.18
2024-01-12,39792.55,40650.60,39687.65,40581.68,18923.25
2024-01-15,40581.68,40699.01,40248.50,40417.70,12459.08
2024-01-16,40417.70,40836.95,40308.44,40657.85,13264.38
2024-01-17,40657.85,41512.50,40543.54,41396.93,33854.89
2024-01-18,41396.93,43715.03,40896.99,43516.05,24949.52
2024-01-19,43516.05,43684.76,43068.54,43200.81,29728.11
2024-01-22,43200.81,43232.73,41365.86,41461.93,17489.39
2024-01-23,41461.93,41504.97,39427.35,39507.97,15726.86
2024-01-24,39507.97,39595.17,39404.05,39428.23,12102.60
2024-01-25,39428.23,39519.53,39263.63,39398.06,15970.44
2024-01-26,39398.06,40360.63,39322.67,40070.59,15739.90
2024-01-29,40070.59,40162.72,39969.75,40090.67,15996.75
2024-01-30,40090.67,40397.49,39872.28,40227.18,12582.54
2024-01-31,40227.18,40401.04,39510.64,39576.30,16431.48
2024-02-01,39576.30,40860.61,39340.82,40559.57,18968.65
2024-02-02,40559.57,40790.29,40418.79,40599.33,18990.03
2024-02-05,40599.33,40637.69,39534.63,39582.45,16820.25
2024-02-06,39582.45,39820.74,39122.49,39260.66,15076.06
2024-02-07,39260.66,39547.67,38630.97,38766.84,30090.45
2024-02-08,38766.84,39080.21,38346.47,38739.33,28734.19
2024-02-09,38739.33,38817.52,38040.33,38113.34,28138.93
2024-02-12,38113.34,39211.02,37847.94,38872.31,13820.87
2024-02-13,38872.31,40331.37,38802.84,40263.45,13570.24
2024-02-14,40263.45,40461.52,39386.68,39700.25,17533.94
2024-02-15,39700.25,40221.39,39673.10,40035.68,19998.50
2024-02-16,40035.68,40041.23,39300.65,39378.45,18131.22
2024-02-19,39378.45,39385.60,39011.33,39094.02,14933.54
2024-02-20,39094.02,39555.71,38991.85,39510.47,16427.85
2024-02-21,39510.47,39666.97,38853.60,38991.96,15300.08
2024-02-22,38991.96,40486.52,38645.04,40355.89,17931.22
2024-02-23,40355.89,40654.32,39693.27,39938.50,19312.24
2024-02-26,39938.50,41785.97,39696.68,41672.66,32367.71
2024-02-27,41672.66,41722.12,41021.74,41175.47,13335.85
2024-02-28,41175.47,41392.38,39725.94,39832.53,15463.40
2024-02-29,39832.53,41101.64,39590.82,41039.22,14946.88
2024-03-01,41039.22,41405.38,40326.09,40645.38,13766.76
2024-03-04,40645.38,41785.69,40598.00,41777.36,27339.79
2024-03-05,41777.36,41895.47,40937.96,40946.23,18708.60
2024-03-06,40946.23,41227.27,39095.96,39248.47,16148.59
2024-03-07,39248.47,39466.76,39244.20,39416.71,14920.65
2024-03-08,39416.71,40723.22,39353.46,40673.63,16182.18
2024-03-11,40673.63,40926.54,39720.28,39779.51,17123.67
2024-03-12,39779.51,39800.02,39634.51,39741.46,18868.36
2024-03-13,39741.46,40105.23,39439.73,39677.59,16954.26
2024-03-14,39677.59,39716.68,39276.08,39372.23,14926.26
2024-03-15,39372.23,39466.77,38650.70,38871.20,16753.84
2024-03-18,38871.20,39160.60,37799.66,37939.01,32539.63
2024-03-19,37939.01,38274.68,37918.02,38152.67,34892.55
2024-03-20,38152.67,38788.51,38097.56,38777.43,24266.53
2024-03-21,38777.43,38817.24,37232.18,37356.49,24478.62
2024-03-22,37356.49,37384.95,37060.65,37160.33,27015.92
2024-03-25,37160.33,38523.96,37115.44,38432.75,26625.86
2024-03-26,38432.75,38930.79,38358.36,38638.02,25572.83
2024-03-27,38638.02,38879.96,38569.34,38794.45,20438.77
2024-03-28,38794.45,39491.16,38588.99,39369.14,13259.25
2024-03-29,39369.14,39418.31,38245.04,38339.95,22129.30
2024-04-01,38339.95,38529.66,37813.99,37873.97,19677.97
2024-04-02,37873.97,37914.71,36760.58,37133.78,28632.68
2024-04-03,37133.78,37401.17,35781.65,35798.59,22990.04
2024-04-04,35798.59,37285.64,35752.42,37162.96,23954.30
2024-04-05,37162.96,37232.16,36433.94,36496.21,37743.35
2024-04-08,36496.21,37304.09,36403.48,37230.60,28543.93
2024-04-09,37230.60,38337.25,36886.07,38003.00,20102.71
2024-04-10,38003.00,38068.08,37676.95,37929.74,21925.42
2024-04-11,37929.74,39230.62,37759.78,39218.83,18017.75
2024-04-12,39218.83,40138.98,39076.74,40016.06,16535.15
2024-04-15,40016.06,40291.42,39967.70,40265.71,16052.80
2024-04-16,40265.71,41860.16,40065.88,41613.13,29455.27
2024-04-17,41613.13,41762.21,40375.66,40385.78,18426.48
2024-04-18,40385.78,40746.51,39880.14,40186.90,16102.92
2024-04-19,40186.90,40397.82,39781.26,39871.59,17744.38
2024-04-22,39871.59,39882.97,39031.50,39132.54,17120.40
2024-04-23,39132.54,39353.21,39043.15,39268.14,16566.75
2024-04-24,39268.14,39470.75,37932.13,38250.24,23646.73
2024-04-25,38250.24,39820.43,38112.92,39419.92,16789.66
2024-04-26,39419.92,39668.64,39279.17,39372.84,13522.47
2024-04-29,39372.84,39940.83,39070.98,39746.35,19952.96
2024-04-30,39746.35,40706.68,39575.87,40635.69,14908.81
2024-05-01,40635.69,40839.90,40462.85,40793.11,19017.80
2024-05-02,40793.11,40837.04,39025.42,39207.10,13649.83
2024-05-03,39207.10,39480.90,38467.53,38577.71,28524.01
2024-05-06,38577.71,38736.49,37339.68,37523.03,32223.45
