date,open,high,low,close,volume
2024-01-02,40000.00,40365.99,39769.02,40327.09,26682.22
2024-01-03,40327.09,41389.29,40229.70,40892.44,21262.26
2024-01-04,40892.44,40923.06,40054.96,40223.60,21956.99
2024-01-05,40223.60,40299.26,39425.46,39597.26,32834.18
2024-01-08,39597.26,40823.99,38972.31,40241.63,21121.75
2024-01-09,40241.63,40430.33,39034.35,39703.84,35287.74
2024-01-10,39703.84,39977.96,39496.49,39548.73,30491.78
2024-01-11,39548.73,39841.13,38844.80,39163.07,27203.57
2024-01-12,39163.07,40977.24,38344.66,40502.60,21455.25
2024-01-15,40502.60,42409.16,39852.64,41387.33,19643.54
2024-01-16,41387.33,42038.65,40978.95,41922.56,18980.46
2024-01-17,41922.56,41923.47,41692.78,41809.83,14221.79
2024-01-18,41809.83,42267.40,41623.47,42176.24,17958.46
2024-01-19,42176.24,42338.30,41819.00,42001.15,14510.65
2024-01-22,42001.15,42440.53,41128.46,41452.87,20953.92
2024-01-23,41452.87,41568.48,41312.90,41372.14,14203.49
2024-01-24,41372.14,41698.73,41053.75,41627.63,19984.11
2024-01-25,41627.63,42574.67,38559.66,40025.50,18301.09
2024-01-26,40025.50,41559.64,39306.72,40847.83,20741.00
2024-01-29,40847.83,41673.99,40346.46,41298.29,21099.89
2024-01-30,41298.29,41349.60,41133.62,41246.18,20470.34
2024-01-31,41246.18,42469.88,41062.71,41822.07,15243.85
2024-02-01,41822.07,42229.39,41358.71,41435.16,19194.65
2024-02-02,41435.16,42063.44,40323.22,40812.56,18808.34
2024-02-05,40812.56,41939.34,39173.63,39558.69,15308.69
2024-02-06,39558.69,40360.98,39328.21,40059.82,14978.33
2024-02-07,40059.82,40380.52,39314.43,39542.09,15402.54
2024-02-08,39542.09,40346.23,38414.76,38736.22,15479.59
2024-02-09,38736.22,39533.43,37587.31,37971.45,20271.07
2024-02-12,37971.45,38381.51,37161.85,37551.43,15757.34
2024-02-13,37551.43,37593.73,37428.93,37484.38,20070.20
2024-02-14,37484.38,37886.90,36710.60,37117.28,19310.07
2024-02-15,37117.28,37546.09,36046.98,36571.09,21877.20
2024-02-16,36571.09,36714.67,35268.41,35404.04,16973.46
2024-02-19,35404.04,35466.59,34786.17,35020.73,14625.17
2024-02-20,35020.73,35462.41,34212.52,34430.53,18116.12
2024-02-21,34430.53,34583.08,34131.98,34278.85,14177.30
2024-02-22,34278.85,34944.17,34179.03,34856.54,20340.71
2024-02-23,34856.54,35406.18,34813.68,35293.96,16218.77
2024-02-26,35293.96,36357.34,35066.53,35898.70,17378.60
2024-02-27,35898.70,36322.27,34327.78,34768.27,21185.93
2024-02-28,34768.27,35461.22,34563.41,35208.45,16866.59
2024-02-29,35208.45,35232.41,35095.12,35128.07,18110.64
2024-03-01,35128.07,35540.02,33097.64,34029.91,17061.28
2024-03-04,34029.91,34583.20,33196.53,33528.33,19060.97
2024-03-05,33528.33,36711.58,33490.56,35048.59,21052.55
2024-03-06,35048.59,35499.50,34818.24,35274.40,14287.68
2024-03-07,35274.40,35404.15,33234.04,34137.57,21465.40
2024-03-08,34137.57,34670.72,34068.07,34389.81,19472.74
2024-03-11,34389.81,34726.05,34006.94,34705.16,15633.31
2024-03-12,34705.16,34833.95,34532.45,34551.07,21158.32
2024-03-13,34551.07,34973.29,34338.58,34743.09,19280.26
2024-03-14,34743.09,35028.98,34491.45,35008.68,16364.59
2024-03-15,35008.68,37003.07,34921.82,36675.88,20474.00
2024-03-18,36675.88,37636.28,36322.83,37368.33,20682.46
2024-03-19,37368.33,37523.56,37282.13,37284.30,19330.50
2024-03-20,37284.30,37420.18,36303.58,36668.32,20514.69
2024-03-21,36668.32,36730.55,36527.93,36601.40,20279.28
2024-03-22,36601.40,36765.10,36371.77,36509.58,18282.18
2024-03-25,36509.58,37566.84,36058.29,37011.74,16763.80
2024-03-26,37011.74,39309.18,36109.30,38248.48,20131.24
2024-03-27,38248.48,38369.04,37798.77,37969.35,16267.75
2024-03-28,37969.35,38192.76,37887.74,38075.69,14659.34
2024-03-29,38075.69,38761.50,36944.13,37380.61,20369.42
2024-04-01,37380.61,37564.73,36972.70,37218.45,18124.17
2024-04-02,37218.45,37637.90,35762.68,36452.72,17776.96
2024-04-03,36452.72,36525.88,35866.76,36134.92,20272.68
2024-04-04,36134.92,37212.88,33837.17,34875.12,16136.20
2024-04-05,34875.12,35295.24,34119.36,34513.30,19694.89
2024-04-08,34513.30,34769.95,34215.36,34319.02,21816.88
2024-04-09,34319.02,34399.21,34196.95,34338.87,19774.34
2024-04-10,34338.87,34446.19,34214.98,34274.51,19838.35
2024-04-11,34274.51,34617.97,33909.36,34571.26,19598.29
2024-04-12,34571.26,35163.66,34273.68,35065.15,19817.42
2024-04-15,35065.15,36818.42,34989.49,36205.16,14006.56
2024-04-16,36205.16,37196.54,35859.02,36921.38,21680.55
2024-04-17,36921.38,36994.61,36908.63,36953.05,16394.91
2024-04-18,36953.05,38003.40,35229.84,35978.96,20649.67
2024-04-19,35978.96,36011.59,35912.50,35992.69,21531.82
2024-04-22,35992.69,36095.86,35696.43,35880.91,18930.03
2024-04-23,35880.91,36006.58,35425.82,35572.81,14953.71
2024-04-24,35572.81,35780.26,34470.82,34662.95,20655.58
2024-04-25,34662.95,34856.17,34374.92,34588.51,23912.67
2024-04-26,34588.51,35244.52,34386.39,35046.15,19467.38
2024-04-29,35046.15,35092.50,34501.23,34760.16,18120.15
2024-04-30,34760.16,34851.23,34168.02,34285.77,23369.00
2024-05-01,34285.77,34690.06,34146.79,34541.44,32910.10
2024-05-02,34541.44,35759.61,34428.97,35674.18,19869.87
2024-05-03,35674.18,35966.92,35607.73,35880.82,19254.11
2024-05-06,35880.82,36205.35,35667.22,36166.98,13344.35
2024-05-07,36166.98,36331.47,35636.46,35732.77,19657.14
2024-05-08,35732.77,36403.71,35629.84,36353.50,18628.22
2024-05-09,36353.50,36681.67,36307.26,36531.72,16600.07
2024-05-10,36531.72,37598.52,36427.02,37395.36,29893.90
2024-05-13,37395.36,37485.83,37002.91,37033.48,31448.59
2024-05-14,37033.48,37304.09,36908.33,37065.25,21189.51
2024-05-15,37065.25,37131.75,36917.52,37106.96,26422.20
2024-05-16,37106.96,37227.14,36577.95,36692.09,26956.11
2024-05-17,36692.09,37742.77,36462.85,37467.53,16356.19
2024-05-20,37467.53,37802.77,37341.67,37767.12,15797.64
2024-05-21,37767.12,37834.75,37493.83,37730.80,28336.38
2024-05-22,37730.80,37900.88,37332.14,37390.85,23082.35
2024-05-23,37390.85,37743.02,36023.72,36137.20,12783.66
2024-05-24,36137.20,37028.20,36039.65,37025.69,23420.62
2024-05-27,37025.69,37449.84,36731.17,37283.17,19184.21
2024-05-28,37283.17,38244.72,37162.98,38060.13,22582.71
2024-05-29,38060.13,38251.44,36513.52,36794.27,22405.18
2024-05-30,36794.27,37003.24,36219.59,36403.02,14209.67
2024-05-31,36403.02,36734.79,36250.78,36440.91,16729.49
2024-06-03,36440.91,36721.85,35618.50,35727.93,18701.20
2024-06-04,35727.93,35859.69,34961.95,35011.35,23660.83
2024-06-05,35011.35,35155.33,34877.75,34989.34,28799.24
2024-06-06,34989.34,35159.50,34785.63,34787.89,17355.78
2024-06-07,34787.89,35014.72,34765.55,34954.36,24917.08
2024-06-10,34954.36,35755.86,34736.35,35560.08,14544.35
2024-06-11,35560.08,35778.39,34841.51,34934.17,30025.10
2024-06-12,34934.17,35118.90,34825.35,35037.78,20442.42
2024-06-13,35037.78,35501.41,34939.13,35355.20,13758.69
2024-06-14,35355.20,35479.90,34970.34,35059.68,24000.46
2024-06-17,35059.68,35075.36,33889.65,34106.17,24016.23
2024-06-18,34106.17,34252.05,33818.75,33880.42,21091.87
2024-06-19,33880.42,33941.56,33390.58,33425.93,32539.58
2024-06-20,33425.93,34460.31,33275.54,34362.17,25971.94
2024-06-21,34362.17,35214.31,34324.95,35185.45,23396.83
2024-06-24,35185.45,35527.57,35148.92,35524.86,18736.22
2024-06-25,35524.86,36102.51,35370.44,36036.63,12353.28
2024-06-26,36036.63,36140.23,35618.03,35791.08,19633.44
2024-06-27,35791.08,36097.59,35668.65,35732.10,12067.43
2024-06-28,35732.10,36784.33,35593.59,36767.09,25211.76
2024-07-01,36767.09,37150.50,36547.76,36832.15,24528.86
2024-07-02,36832.15,36968.55,36698.68,36931.30,19588.16
2024-07-03,36931.30,37155.25,36795.71,37106.19,25391.89
2024-07-04,37106.19,37296.46,36814.62,36898.26,25361.17
2024-07-05,36898.26,37165.98,35754.71,35950.28,16246.32
2024-07-08,35950.28,36950.96,35924.40,36908.79,16814.77
2024-07-09,36908.79,37143.46,36830.80,37048.22,28469.59
2024-07-10,37048.22,37578.04,36871.30,37386.55,18901.75
2024-07-11,37386.55,37809.27,37201.12,37740.97,26913.88
2024-07-12,37740.97,38507.86,37465.40,38262.42,21787.49
2024-07-15,38262.42,38406.21,37466.99,37797.39,26867.16
